temp,hum,temp_outdoor,occupancy,time_of_day,ac_power
25.4901424590337,50.76240317977297,26.60752634756389,0,7,26.182033870929317
23.585207096486446,50.46585891616146,28.472502684731737,7,14,56.812829181547905
25.94306561430208,37.04356827369985,27.013094694774285,1,18,35.94104979002622
28.569089569224076,51.69909808298563,30.5520902347306,4,9,49.60179067198013
23.29753987582999,62.328290818217454,35.98589265730956,1,23,62.07893131158656
23.29758912915246,42.25767880923205,26.144789214293976,4,15,44.72891766856702
28.737638446522176,65.48482651050593,35.00410248884207,6,10,52.775781805783
26.302304187458727,59.87774821084338,26.091639638265562,5,11,40.62494605149037
22.591576842195146,47.657666780289624,25.761863937515578,4,15,39.6364558499199
25.627680130757895,53.584703626621526,34.09297309171607,3,15,55.648261122367664
22.609746921562614,70.98321807641034,34.60968189003808,7,19,71.65375925946427
22.60281073928923,62.33547813505866,34.25704968381327,7,2,74.44306106946198
24.725886814698104,55.08783654898148,23.421012958909294,0,8,41.2595548986821
18.260159266026605,52.623166830390154,27.670245109639747,9,7,70.71499553205189
18.8252465024609,55.76609070451659,34.114942960016606,1,9,71.36751004316955
22.313137412277083,49.88236442057696,30.207709202819473,2,12,43.83109010406761
20.961506638996728,33.95250494280985,24.63153576901268,0,17,32.1009590762348
24.94274199778582,75.42177910534731,32.29158969562721,2,12,57.40850633697621
21.27592777343637,56.553249991994015,26.425963705042648,9,12,60.59132534978364
19.763088895994127,58.981472651225374,38.97262424196106,7,14,94.33016977735575
28.39694630676466,54.42092250123091,37.724207312091295,3,12,52.26136852630718
23.322671098540393,47.64883199275412,33.020487131777834,6,15,62.3059018025505
24.20258461406377,53.140755190512294,36.80503352384887,6,7,56.00478561824607
19.72575544135963,39.006052378056886,30.323956750616905,4,18,58.02158385874921
22.36685182642445,77.77086498053305,33.82718747187508,0,9,63.78151006463393
24.3327677691296,42.654880015776044,37.388601476510374,9,11,71.64687410289794
20.54701926773309,44.68033716152821,31.227493408971565,3,13,57.74155701582636
25.127094055037016,50.597407956135996,28.72406414242858,6,5,46.550715602899686
22.198083930243584,67.88075724852378,21.476890209114423,4,20,35.8142420144504
23.124918750620168,55.14508999262654,29.58433237139253,1,23,41.51965238592663
22.194880163311808,42.63864203969538,34.11711592281156,7,8,61.37323403689124
29.556834553526812,67.54338360757339,34.72816713783815,1,6,41.1439222060591
23.9595083257862,62.31000626785482,32.52182532859205,7,5,58.15852405407753
20.8268672131323,60.384349572164524,27.2935045251888,1,21,43.89825866880532
26.467634736309567,62.157342411708406,20.115892155262046,4,0,27.163201652823425
20.337469050086934,78.9436190058245,27.523924509976325,3,20,59.715379132820956
24.626590785014265,76.85094895036113,28.478275644730243,0,13,39.63911613483886
18.120989628360675,48.13284656996704,28.43535516404993,7,23,59.399291805796246
20.015441853304708,71.23884992811152,33.092781784889624,9,5,77.45501001266513
24.590583707607372,58.831681897589,39.928382055074195,2,11,69.509495121417
26.215399739986232,59.99095816137749,30.617646009205465,3,16,41.82612067537468
24.51410484356991,38.07729168356671,28.916341054217693,3,4,38.64133727412835
23.65305515283528,53.29614234611804,28.703890934979537,4,10,53.95254199516646
23.096688913232132,46.87176409663435,30.62192383453857,2,4,44.13888652547496
19.56443402889772,63.28058814893309,25.858531198258007,8,11,56.3359761332907
21.840467374815873,65.71080500402805,30.600992793730274,3,2,57.79819602535482
22.618083687120638,34.255136489836886,32.254061681658996,9,23,58.392447337710514
27.171366678656746,54.7796513599573,31.04843031787244,3,8,31.3782993364901
25.030854868705383,66.21861504794252,32.28770967002391,5,5,60.37452295672014
18.7108795339118,53.13321037686555,32.168738046742675,7,21,76.20686559738935
24.972251908184386,62.29063645002364,21.14051658876778,6,1,37.91192711114174
22.84475315875105,58.511654676270844,33.18435079197702,3,1,64.44868324747884
21.969233999082125,58.41660231952626,26.64492577168773,3,21,51.09649373161962
25.835028866522602,52.286850219317024,24.52080418498021,4,11,31.78310736165914
27.092998567487854,42.834191958642904,24.47774086072502,9,7,50.86727657050238
26.793840357348596,43.784698525749725,32.16770805236265,4,1,48.48886285724121
21.482347430332084,62.09352514455317,28.887125363875736,0,8,50.576627951006444
23.072362872446355,55.19458255518883,21.590156080072944,7,15,37.62662308905069
24.99379029421069,53.614877553927755,32.390189075961416,9,14,56.148018152391856
26.926635381367078,50.76109957677647,22.801959346005862,4,13,24.56200811023718
22.56247728646413,51.94811154519248,30.699106792591053,2,19,55.45819854504231
23.44302307000855,65.46911794488139,31.19249462836527,2,3,62.69217038284914
20.680995077981915,51.647559181319735,34.42788540847523,3,3,65.43180377130912
20.411380127757987,41.58935286698431,38.90842393233426,6,10,76.93351834094344
26.437577467182592,62.43651775540173,23.17661837049729,4,20,40.045235292923905
28.06872008571247,52.95123336135283,29.737630719684752,0,23,41.129033449836285
23.783969635258998,55.31395865532777,28.618323524778912,4,17,42.00256523658583
27.010598693676073,71.0757830639951,32.16874842980481,4,4,62.778704254214276
25.084908075142902,54.794394426494925,31.07834385466809,5,1,51.52272412563926
22.06464073618463,57.891836731187254,28.2372687863169,6,14,62.132704689415434
25.084186816525243,43.210765087016746,27.795489056945723,4,10,36.047675478022946
28.614109699397908,52.8033054764904,24.41774572407976,1,23,29.61577359532098
23.892521882670145,61.09526045208601,34.93930791203255,1,16,50.25367458139754
28.693930967442018,39.446262661587575,32.296020907997644,3,15,45.64462378130005
16.140764687730766,57.00845093115709,34.58884098897569,0,14,72.21541951734307
26.465707513125672,56.00791072644806,28.448019317622432,6,22,39.90678238833975
24.261141204714512,55.412874555874396,26.71582265652785,0,2,42.91029412012601
23.102977948602398,65.37158898658242,24.60842466685386,2,19,36.742476587199945
24.275282329606508,58.344385148485216,31.794587918703296,9,14,71.25650469892119
18.037293256197323,69.78071898356444,24.801033877358826,6,23,62.18408839478927
23.340984336487463,45.06410484405964,39.24331534483275,5,18,64.09253850635486
25.07133771453524,56.35924567218348,23.4617870945328,6,12,35.622575864436065
28.433682134224547,55.844667863899474,31.36830059606251,4,15,65.1366308709554
22.44518934517906,44.3074550624492,37.834273536068935,7,22,84.60713998004773
21.574519191320437,64.56295002091346,32.995448796319046,5,11,66.15735326645645
22.49472886924639,78.24673305852818,30.878368562458895,3,16,63.36449074472116
26.746206353106224,54.82993925516169,25.15758176519052,0,15,34.286901935265895
24.986253328979053,60.05021088273767,23.091154057161482,1,8,24.765479042909565
22.410719388698883,55.84518475815327,33.85025054458793,5,5,68.08229863538176
25.539802299340067,47.864153300928244,37.53073620387473,3,18,64.27695476588515
24.291232648044122,36.79239722197984,27.80575004760914,2,22,38.87597768310513
26.90593497159867,47.94226516904635,24.304692461918243,6,12,43.134922271746184
21.893840718367944,41.08041619048269,17.709152847254906,6,20,31.717968902486433
23.017013560206696,72.04102078059118,25.09617578168731,1,23,48.29711506391638
22.823675540603528,53.84890306076761,29.4317157875048,7,7,59.55225284674386
19.609455155603644,51.54080670952829,37.99561620418367,0,11,59.56607605128365
24.88836083119373,63.89153824787806,33.365668461164844,9,8,73.8168858742622
24.783165816539668,43.78248897144112,31.525427023533766,6,21,60.12900340253367
24.015340369927383,47.331359619954476,27.999401693494345,9,3,54.4115176089647
23.29623859987456,55.68072269248621,27.08417141372022,0,12,32.58461866377603
19.753887773848756,65.2876899142348,37.02823798753982,2,1,77.47538019489281
22.738064031703924,60.01685045168788,31.00369270379195,2,2,55.11869660390513
22.971856450419693,57.48325142515882,19.48699654039489,9,4,44.76031867323019
21.593168192335142,55.78117735236016,26.632301760513787,1,23,44.7577176768907
