temp,hum,pressure_diff,co2_level,voc_level,anomaly
26.512179095887134,52.14958497023821,-17.075940150749403,806.0218416980941,261.50722270762594,0.0
24.1946995922126,56.68742004577432,-20.65002309291868,807.0053223284038,198.2336254114452,0.0
22.788148618801795,55.16572210457855,-15.424174249475076,920.9476075400804,303.35426845677813,0.0
22.03921399725144,51.46458631124083,-12.411500620469322,981.2207431953029,184.41449634322544,0.0
24.105362521254637,46.47022805744316,-16.714301184412367,829.9047087018733,167.61055618973046,0.0
23.446031676424703,68.44081668699178,-14.812653913728846,746.7091979676619,209.49815727570788,0.0
23.24983015006745,63.58486285249406,-13.647552998340172,1046.2405692362713,246.27849787852315,0.0
24.42590810349842,52.844094922724075,-15.131392744896125,711.5166216593693,188.4794805021781,0.0
23.461559721226973,51.3619761822092,-16.554937739499692,793.7155419365426,164.10588138616964,0.0
23.3423049631652,50.98919595069311,-18.403340812752784,775.5079991639241,214.26860525346137,0.0
25.410844419512674,69.30858181321935,-12.350315851581293,748.6294980597935,211.57888005189068,0.0
22.85978727420966,65.86397306746213,-15.644350733566526,824.3801413883754,248.3481883901523,0.0
23.0357191005752,55.23503279936452,-11.662629118012356,836.0050768948026,164.62263597577578,0.0
24.566765704361554,58.703158940961586,-14.012403359415256,760.7502366823887,163.5773248430143,0.0
25.961320566846425,45.62340791691349,-12.938591009265947,823.0684409194049,281.3864741011625,0.0
22.461383083057854,59.38336151396645,-15.263387951320261,773.1131690219876,129.74650929298667,0.0
23.041926164435253,56.619014943712656,-13.285087349258339,757.5989309440272,196.30735304207613,0.0
22.389171973377238,64.72984256357836,-11.330994890715123,778.3154363850505,146.2386721831727,0.0
24.959662251938944,52.210234678345316,-8.289944196633332,902.8397837488355,123.43701021565654,0.0
28.425058355847185,52.104594980172436,-13.618248341757397,993.2808143510822,265.83325910262795,0.0
23.200519996427232,50.995674065612086,-11.44424726622282,965.5412905356053,280.2257663493693,0.0
